ID,RAJ2000,DEJ2000,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,phot_bp_n_obs,phot_rp_n_obs
41,287.27174416,-16.1044405616,4088774338574467584,287.27174140354,0.0352,-16.10455517398,0.0351,3.1852,0.0374,-0.615,0.064,-26.62,0.059,0.4104,-0.1784,-0.3085,-0.4306,-0.2447,-0.289,-0.5604,-0.3597,0.0928,0.2985,12.7848,2.0E-4,13.2409,0.0017,12.1849,0.001,-64.86,3.4,287.27174416,0.9906,-16.1044405616,0.9166,190.83,140,1.222,17,17
42,288.421954948,-16.1722697384,4088110332311492224,288.42194412839,0.0607,-16.17238191945,0.0486,3.2673,0.0851,-2.413,0.241,-26.055,0.158,0.097,-0.2596,-0.3676,0.1507,-0.4461,-0.3271,0.1112,0.625,-0.65,-0.7963,11.8133,3.0E-4,12.1948,0.0018,11.2748,0.0016,,,288.421954948,3.7302,-16.1722697384,2.4452,312.8,105,1.215,11,9
43,287.947137911,-16.5468414736,4088073876634320768,287.94713572695,0.0397,-16.54695591224,0.0404,3.2355,0.047,-0.486,0.076,-26.579,0.068,0.3388,0.0898,-0.409,-0.348,-0.3537,-0.1504,-0.4975,-0.4313,0.1022,0.3251,11.004,9.0E-4,11.324,0.0016,10.5497,9.0E-4,,,287.947137911,1.181,-16.5468414736,1.0559,339.55,142,1.193,15,16
44,288.850273144,-16.3644460553,4088049107570207488,288.85026979558,0.0412,-16.3645601486,0.0325,3.1924,0.0417,-0.746,0.077,-26.499,0.062,-0.074,-0.2503,0.1043,-0.3666,-0.1864,-0.27,-0.1619,-0.2806,0.1828,-0.081,11.6074,3.0E-4,11.9523,0.0025,11.1168,0.0015,42.98,0.26,288.850273144,1.1959,-16.3644460553,0.9685,149.93,149,1.203,13,11
45,288.92787928,-16.551416532,4087853875535923200,288.92787610477,0.0547,-16.55153156199,0.0466,3.3879,0.0697,-0.707,0.157,-26.717,0.104,-0.0611,-0.1836,-0.051,-0.0937,-0.5161,-0.3615,0.2208,0.4202,-0.3278,-0.4918,11.3873,5.0E-4,11.7106,0.0016,10.9133,0.002,42.46,1.34,288.92787928,2.4401,-16.551416532,1.6175,194.64,104,1.204,12,11
46,289.190620045,-16.5896345155,4087841918346863232,289.19061493931,0.046,-16.58974831484,0.0379,3.2629,0.0505,-1.137,0.086,-26.431,0.069,0.2484,-0.2287,-0.0776,-0.3489,-0.2586,-0.2098,-0.3188,-0.3118,0.049,0.0288,9.0205,3.0E-4,9.6164,0.0013,8.3206,0.0016,,,289.190620045,1.3267,-16.5896345155,1.067,217.74,129,1.235,13,14
47,289.247546035,-16.5908667004,4087838959097352064,289.24754047237,0.0396,-16.59097749323,0.0335,3.2785,0.0407,-1.238,0.079,-25.733,0.066,0.1728,-0.0409,-0.1497,-0.3432,-0.1448,-0.2758,-0.32,-0.234,0.0068,0.0665,12.4194,5.0E-4,12.8278,0.0028,11.8639,0.0016,42.8,2.97,289.247546035,1.2175,-16.5908667004,1.0168,165.16,131,1.214,14,13
48,288.974044605,-16.7411714782,4087832984815137152,288.97403973677,0.056,-16.74128364473,0.0464,3.2066,0.0868,-1.083,0.217,-26.052,0.144,0.2515,-0.3306,-0.5082,0.2333,-0.4739,-0.3707,0.1059,0.701,-0.6959,-0.7381,11.5382,3.0E-4,11.9268,0.0016,11.0041,0.0012,43.43,2.0,288.974044605,3.3704,-16.7411714782,2.2302,144.23,111,1.209,12,11
49,288.852749251,-16.8562010223,4087807180650392832,288.85274632016,0.0374,-16.85631623895,0.0355,3.3107,0.0399,-0.651,0.072,-26.76,0.064,0.3711,-0.0097,-0.3737,-0.3118,-0.3146,-0.2109,-0.4192,-0.2204,-0.0035,0.2685,11.3244,7.0E-4,11.6996,0.0028,10.8015,0.0014,,,288.852749251,1.1172,-16.8562010223,0.9914,259.16,146,1.209,14,14
50,288.785838801,-16.9614884644,4087804603669963520,288.78583380015,0.0416,-16.96160100702,0.0435,3.2668,0.0572,-1.111,0.084,-26.139,0.069,0.2109,0.1605,-0.4344,-0.2491,-0.511,0.0704,-0.4956,-0.5442,0.1953,0.1934,10.5111,4.0E-4,10.8312,0.0012,10.0565,0.0015,42.0,0.61,288.785838801,1.2988,-16.9614884644,1.0683,267.25,150,1.193,15,14
